id_cliente,data_venda,valor_premio,meses_ativo,flag_utilizacao,data_liberacao_credito,tipo_credito,delta_minutos,target_auditoria
10000,2025-04-13 12:23:00,200.0,8,0,2025-04-13 12:00:00,CDC,23.0,Alfa
10001,2025-12-15 15:22:00,200.0,1,0,2025-12-15 15:00:00,Consignado,22.0,Alfa
10002,2025-04-17 16:57:00,200.0,8,0,2025-04-17 16:00:00,CDC,57.0,Alfa
10003,2025-08-06 13:00:00,150.0,4,0,2025-07-08 13:00:00,Consignado,41760.0,Beta
10004,2025-04-13 10:37:00,200.0,8,0,2025-04-13 10:00:00,Consignado,37.0,Alfa
10005,2025-08-03 11:21:00,200.0,5,0,2025-08-03 11:00:00,CDC,21.0,Alfa
10006,2025-03-29 13:54:00,200.0,9,1,2025-03-29 13:00:00,Crédito Pessoal,54.0,Alfa
10007,2025-04-10 16:01:00,200.0,8,0,2025-04-10 16:00:00,Consignado,1.0,Alfa
10008,2025-06-01 11:17:00,200.0,7,0,2025-06-01 11:00:00,Antecipação Saque Aniversário,17.0,Alfa
10009,2025-06-11 13:00:00,150.0,6,0,2025-05-30 13:00:00,Antecipação Saque Aniversário,17280.0,Beta
10010,2025-09-15 16:46:00,200.0,3,0,2025-09-15 16:00:00,CDC,46.0,Alfa
10011,2025-10-21 10:16:00,200.0,2,0,2025-10-21 10:00:00,Crédito Pessoal,16.0,Alfa
10012,2025-07-11 12:10:00,200.0,5,0,2025-07-11 12:00:00,CDC,10.0,Alfa
10013,2025-10-04 09:12:00,200.0,2,0,2025-10-04 09:00:00,Crédito Pessoal,12.0,Alfa
10014,2025-11-10 14:20:00,200.0,1,0,2025-11-10 14:00:00,Consignado,20.0,Alfa
10015,2025-09-10 12:58:00,200.0,3,0,2025-09-10 12:00:00,Consignado,58.0,Alfa
10016,2025-12-11 09:45:00,200.0,1,0,2025-12-11 09:00:00,Consignado,45.0,Alfa
10017,2025-12-01 00:00:00,450.0,1,0,,,,Gama
10018,2025-06-19 16:45:00,200.0,6,0,2025-06-19 16:00:00,Antecipação Saque Aniversário,45.0,Alfa
10019,2025-07-07 16:05:00,200.0,5,0,2025-07-07 16:00:00,Antecipação Saque Aniversário,5.0,Alfa
10020,2025-09-28 14:33:00,200.0,3,0,2025-09-28 14:00:00,CDC,33.0,Alfa
10021,2025-06-24 14:16:00,200.0,6,0,2025-06-24 14:00:00,Crédito Pessoal,16.0,Alfa
10022,2025-02-20 12:15:00,200.0,10,0,,,,Gama
10023,2025-02-24 12:33:00,200.0,10,0,2025-02-24 12:00:00,Consignado,33.0,Alfa
10024,2025-11-19 09:00:00,250.0,1,0,2025-11-16 09:00:00,Crédito Pessoal,4320.0,Beta
10025,2025-05-18 13:00:00,150.0,7,0,2025-05-11 13:00:00,Crédito Pessoal,10080.0,Beta
10026,2025-11-03 15:32:00,200.0,1,0,2025-11-03 15:00:00,CDC,32.0,Alfa
10027,2025-01-21 09:26:00,200.0,11,0,2025-01-21 09:00:00,Crédito Pessoal,26.0,Alfa
10028,2025-07-14 10:00:00,150.0,5,0,2025-06-16 10:00:00,Consignado,40320.0,Beta
10029,2025-06-19 00:00:00,450.0,6,0,2025-03-30 12:00:00,Consignado,115920.0,Beta
10030,2025-01-14 10:41:00,200.0,11,0,2025-01-14 10:00:00,Consignado,41.0,Alfa
10031,2025-09-22 10:28:00,200.0,3,0,,,,Gama
10032,2025-02-22 10:50:00,200.0,10,0,2025-02-22 10:00:00,Consignado,50.0,Alfa
10033,2025-12-06 12:50:00,200.0,1,0,2025-12-06 12:00:00,CDC,50.0,Alfa
10034,2025-09-21 15:23:00,200.0,3,0,2025-09-21 15:00:00,Consignado,23.0,Alfa
10035,2025-02-04 14:26:00,200.0,11,0,2025-02-04 14:00:00,CDC,26.0,Alfa
10036,2025-03-22 12:37:00,200.0,9,0,2025-03-22 12:00:00,Consignado,37.0,Alfa
10037,2025-02-19 16:41:00,200.0,10,0,2025-02-19 16:00:00,Antecipação Saque Aniversário,41.0,Alfa
10038,2025-01-02 14:56:00,200.0,12,0,2025-01-02 14:00:00,Antecipação Saque Aniversário,56.0,Alfa
10039,2025-02-23 10:57:00,200.0,10,1,2025-02-23 10:00:00,Antecipação Saque Aniversário,57.0,Alfa
10040,2025-09-17 14:24:00,200.0,3,0,2025-09-17 14:00:00,Antecipação Saque Aniversário,24.0,Alfa
10041,2025-07-31 10:00:00,250.0,5,0,2025-07-10 10:00:00,CDC,30240.0,Beta
10042,2025-08-06 12:11:00,200.0,4,0,2025-08-06 12:00:00,CDC,11.0,Alfa
10043,2025-06-11 10:29:00,200.0,6,0,2025-06-11 10:00:00,Crédito Pessoal,29.0,Alfa
10044,2025-09-27 15:18:00,200.0,3,0,2025-09-27 15:00:00,Consignado,18.0,Alfa
10045,2025-10-31 15:45:00,200.0,2,0,2025-10-31 15:00:00,Antecipação Saque Aniversário,45.0,Alfa
10046,2025-08-03 12:49:00,200.0,5,0,2025-08-03 12:00:00,CDC,49.0,Alfa
10047,2025-07-09 16:59:00,200.0,5,0,2025-07-09 16:00:00,Consignado,59.0,Alfa
10048,2025-08-01 16:43:00,200.0,5,0,,,,Gama
10049,2025-08-25 10:27:00,200.0,4,0,2025-08-25 10:00:00,CDC,27.0,Alfa
10050,2025-02-22 16:19:00,200.0,10,0,,,,Gama
10051,2025-08-05 12:26:00,200.0,4,0,2025-08-05 12:00:00,Crédito Pessoal,26.0,Alfa
10052,2025-12-04 00:00:00,150.0,1,0,2025-07-07 12:00:00,Consignado,215280.0,Beta
10053,2025-03-01 13:00:00,150.0,10,0,2025-02-10 13:00:00,Crédito Pessoal,27360.0,Beta
10054,2025-01-15 13:56:00,200.0,11,0,,,,Gama
10055,2025-03-06 09:55:00,200.0,10,0,2025-03-06 09:00:00,Antecipação Saque Aniversário,55.0,Alfa
10056,2025-12-22 00:00:00,150.0,1,0,,,,Gama
10057,2025-12-10 09:36:00,200.0,1,0,2025-12-10 09:00:00,Antecipação Saque Aniversário,36.0,Alfa
10058,2025-05-17 16:00:00,150.0,7,1,2025-05-16 16:00:00,Consignado,1440.0,Alfa
10059,2025-03-04 11:16:00,200.0,10,0,2025-03-04 11:00:00,Crédito Pessoal,16.0,Alfa
10060,2025-03-22 16:28:00,200.0,9,0,2025-03-22 16:00:00,Antecipação Saque Aniversário,28.0,Alfa
10061,2025-06-12 11:07:00,200.0,6,0,,,,Gama
10062,2025-10-16 11:26:00,200.0,2,0,2025-10-16 11:00:00,Consignado,26.0,Alfa
10063,2025-09-18 10:57:00,200.0,3,0,2025-09-18 10:00:00,Antecipação Saque Aniversário,57.0,Alfa
10064,2025-08-19 10:52:00,200.0,4,0,2025-08-19 10:00:00,Consignado,52.0,Alfa
10065,2025-02-10 12:02:00,200.0,10,0,2025-02-10 12:00:00,Antecipação Saque Aniversário,2.0,Alfa
10066,2025-05-15 09:12:00,200.0,7,0,2025-05-15 09:00:00,CDC,12.0,Alfa
10067,2025-11-24 12:14:00,200.0,1,0,2025-11-24 12:00:00,Antecipação Saque Aniversário,14.0,Alfa
10068,2025-02-02 16:26:00,200.0,11,0,2025-02-02 16:00:00,Crédito Pessoal,26.0,Alfa
10069,2025-03-03 16:40:00,200.0,10,0,2025-03-03 16:00:00,Antecipação Saque Aniversário,40.0,Alfa
10070,2025-03-20 00:00:00,150.0,9,0,2025-10-20 11:00:00,Consignado,-308820.0,Alfa
10071,2025-07-19 16:00:00,250.0,5,0,2025-06-21 16:00:00,Consignado,40320.0,Beta
10072,2025-08-02 11:03:00,200.0,5,0,2025-08-02 11:00:00,Antecipação Saque Aniversário,3.0,Alfa
10073,2025-02-04 09:36:00,200.0,11,0,2025-02-04 09:00:00,Crédito Pessoal,36.0,Alfa
10074,2025-08-15 13:44:00,200.0,4,0,2025-08-15 13:00:00,CDC,44.0,Alfa
10075,2025-05-11 09:36:00,200.0,7,0,2025-05-11 09:00:00,Crédito Pessoal,36.0,Alfa
10076,2025-01-05 10:59:00,200.0,12,0,2025-01-05 10:00:00,CDC,59.0,Alfa
10077,2025-09-12 14:40:00,200.0,3,0,2025-09-12 14:00:00,Consignado,40.0,Alfa
10078,2025-12-31 11:00:00,250.0,1,0,2025-12-25 11:00:00,Crédito Pessoal,8640.0,Beta
10079,2025-07-26 15:48:00,200.0,5,0,2025-07-26 15:00:00,CDC,48.0,Alfa
10080,2025-12-12 10:15:00,200.0,1,0,2025-12-12 10:00:00,Antecipação Saque Aniversário,15.0,Alfa
10081,2025-06-28 15:23:00,200.0,6,0,2025-06-28 15:00:00,Consignado,23.0,Alfa
10082,2025-12-18 15:03:00,200.0,1,0,2025-12-18 15:00:00,Antecipação Saque Aniversário,3.0,Alfa
10083,2025-08-29 12:21:00,200.0,4,0,2025-08-29 12:00:00,Consignado,21.0,Alfa
10084,2025-04-12 12:00:00,250.0,8,0,2025-04-06 12:00:00,Crédito Pessoal,8640.0,Beta
10085,2025-08-10 13:55:00,200.0,4,0,2025-08-10 13:00:00,Crédito Pessoal,55.0,Alfa
10086,2025-08-19 13:12:00,200.0,4,0,2025-08-19 13:00:00,Consignado,12.0,Alfa
10087,2025-05-23 11:34:00,200.0,7,0,2025-05-23 11:00:00,Consignado,34.0,Alfa
10088,2025-01-29 12:17:00,200.0,11,0,2025-01-29 12:00:00,Consignado,17.0,Alfa
10089,2025-01-14 16:00:00,250.0,11,1,2025-01-13 16:00:00,Crédito Pessoal,1440.0,Alfa
10090,2025-11-23 11:34:00,200.0,1,0,2025-11-23 11:00:00,CDC,34.0,Alfa
10091,2025-08-31 14:04:00,200.0,4,0,2025-08-31 14:00:00,Antecipação Saque Aniversário,4.0,Alfa
10092,2025-10-11 10:12:00,200.0,2,0,2025-10-11 10:00:00,Antecipação Saque Aniversário,12.0,Alfa
10093,2025-06-19 13:08:00,200.0,6,0,2025-06-19 13:00:00,Crédito Pessoal,8.0,Alfa
10094,2025-03-03 09:57:00,200.0,10,0,2025-03-03 09:00:00,Antecipação Saque Aniversário,57.0,Alfa
10095,2025-05-14 12:08:00,200.0,7,0,2025-05-14 12:00:00,Consignado,8.0,Alfa
10096,2025-01-28 12:36:00,200.0,11,0,,,,Gama
10097,2025-02-21 12:00:00,250.0,10,0,2025-02-13 12:00:00,Antecipação Saque Aniversário,11520.0,Beta
10098,2025-10-13 14:14:00,200.0,2,0,2025-10-13 14:00:00,CDC,14.0,Alfa
10099,2025-11-27 16:22:00,200.0,1,0,2025-11-27 16:00:00,Consignado,22.0,Alfa
10100,2025-12-14 09:39:00,200.0,1,0,2025-12-14 09:00:00,Antecipação Saque Aniversário,39.0,Alfa
10101,2025-08-19 14:09:00,200.0,4,0,2025-08-19 14:00:00,Crédito Pessoal,9.0,Alfa
10102,2025-08-13 09:54:00,200.0,4,0,2025-08-13 09:00:00,CDC,54.0,Alfa
10103,2025-10-10 14:10:00,200.0,2,0,2025-10-10 14:00:00,Consignado,10.0,Alfa
10104,2025-05-01 12:17:00,200.0,8,0,2025-05-01 12:00:00,CDC,17.0,Alfa
10105,2025-08-21 11:51:00,200.0,4,0,2025-08-21 11:00:00,Antecipação Saque Aniversário,51.0,Alfa
10106,2025-09-05 00:00:00,300.0,3,0,2025-12-25 14:00:00,Antecipação Saque Aniversário,-160680.0,Alfa
10107,2025-05-17 14:24:00,200.0,7,0,2025-05-17 14:00:00,Crédito Pessoal,24.0,Alfa
10108,2025-06-14 09:28:00,200.0,6,0,2025-06-14 09:00:00,Consignado,28.0,Alfa
10109,2025-11-19 10:00:00,250.0,1,0,2025-11-03 10:00:00,Consignado,23040.0,Beta
10110,2025-06-21 16:52:00,200.0,6,0,2025-06-21 16:00:00,Crédito Pessoal,52.0,Alfa
10111,2025-01-25 00:00:00,450.0,11,0,2025-11-11 14:00:00,Crédito Pessoal,-418440.0,Alfa
10112,2025-06-09 16:40:00,200.0,6,0,2025-06-09 16:00:00,Consignado,40.0,Alfa
10113,2025-08-21 12:07:00,200.0,4,0,2025-08-21 12:00:00,CDC,7.0,Alfa
10114,2025-05-11 14:00:00,150.0,7,0,2025-04-23 14:00:00,CDC,25920.0,Beta
10115,2025-02-21 12:35:00,200.0,10,0,2025-02-21 12:00:00,Crédito Pessoal,35.0,Alfa
10116,2025-10-22 10:18:00,200.0,2,0,2025-10-22 10:00:00,CDC,18.0,Alfa
10117,2025-04-23 13:30:00,200.0,8,0,2025-04-23 13:00:00,Consignado,30.0,Alfa
10118,2025-04-23 16:52:00,200.0,8,0,,,,Gama
10119,2025-04-17 11:00:00,250.0,8,0,2025-03-22 11:00:00,Antecipação Saque Aniversário,37440.0,Beta
10120,2025-04-23 10:25:00,200.0,8,0,2025-04-23 10:00:00,CDC,25.0,Alfa
10121,2025-05-10 12:37:00,200.0,7,0,2025-05-10 12:00:00,Crédito Pessoal,37.0,Alfa
10122,2025-02-23 15:59:00,200.0,10,0,2025-02-23 15:00:00,Crédito Pessoal,59.0,Alfa
10123,2025-08-12 09:24:00,200.0,4,0,2025-08-12 09:00:00,Crédito Pessoal,24.0,Alfa
10124,2025-05-06 10:18:00,200.0,7,0,2025-05-06 10:00:00,Crédito Pessoal,18.0,Alfa
10125,2025-02-22 12:30:00,200.0,10,0,2025-02-22 12:00:00,Crédito Pessoal,30.0,Alfa
10126,2025-08-06 16:03:00,200.0,4,0,2025-08-06 16:00:00,CDC,3.0,Alfa
10127,2025-07-17 16:58:00,200.0,5,0,2025-07-17 16:00:00,Antecipação Saque Aniversário,58.0,Alfa
10128,2025-09-16 12:00:00,250.0,3,0,2025-09-04 12:00:00,Antecipação Saque Aniversário,17280.0,Beta
10129,2025-08-03 16:00:00,250.0,5,1,2025-07-22 16:00:00,CDC,17280.0,Beta
10130,2025-05-03 09:26:00,200.0,8,0,2025-05-03 09:00:00,Crédito Pessoal,26.0,Alfa
10131,2025-09-12 14:40:00,200.0,3,0,2025-09-12 14:00:00,CDC,40.0,Alfa
10132,2025-10-22 13:00:00,150.0,2,0,2025-10-07 13:00:00,Antecipação Saque Aniversário,21600.0,Beta
10133,2025-04-08 14:52:00,200.0,8,0,2025-04-08 14:00:00,Consignado,52.0,Alfa
10134,2025-08-28 16:50:00,200.0,4,0,2025-08-28 16:00:00,CDC,50.0,Alfa
10135,2025-04-07 09:07:00,200.0,8,0,2025-04-07 09:00:00,Crédito Pessoal,7.0,Alfa
10136,2025-05-04 11:15:00,200.0,8,0,2025-05-04 11:00:00,Antecipação Saque Aniversário,15.0,Alfa
10137,2025-11-22 16:01:00,200.0,1,0,2025-11-22 16:00:00,Antecipação Saque Aniversário,1.0,Alfa
10138,2025-12-15 11:37:00,200.0,1,0,2025-12-15 11:00:00,Antecipação Saque Aniversário,37.0,Alfa
10139,2025-05-28 12:45:00,200.0,7,0,2025-05-28 12:00:00,Antecipação Saque Aniversário,45.0,Alfa
10140,2025-05-31 00:00:00,450.0,7,0,2025-12-12 11:00:00,Crédito Pessoal,-281460.0,Alfa
10141,2025-05-27 12:04:00,200.0,7,0,2025-05-27 12:00:00,Consignado,4.0,Alfa
10142,2025-12-28 15:00:00,150.0,1,0,2025-12-18 15:00:00,Antecipação Saque Aniversário,14400.0,Beta
10143,2025-11-04 09:48:00,200.0,1,0,2025-11-04 09:00:00,CDC,48.0,Alfa
10144,2025-05-08 15:05:00,200.0,7,0,2025-05-08 15:00:00,Consignado,5.0,Alfa
10145,2025-12-04 16:56:00,200.0,1,0,2025-12-04 16:00:00,Antecipação Saque Aniversário,56.0,Alfa
10146,2025-08-14 00:00:00,150.0,4,0,2025-05-09 11:00:00,Consignado,139020.0,Beta
10147,2025-05-31 15:58:00,200.0,7,0,2025-05-31 15:00:00,CDC,58.0,Alfa
10148,2025-10-29 11:00:00,150.0,2,0,2025-10-25 11:00:00,Antecipação Saque Aniversário,5760.0,Beta
10149,2025-09-20 12:08:00,200.0,3,0,2025-09-20 12:00:00,CDC,8.0,Alfa
10150,2025-06-20 00:00:00,150.0,6,0,2025-05-24 10:00:00,Crédito Pessoal,38280.0,Beta
10151,2025-04-22 09:29:00,200.0,8,0,2025-04-22 09:00:00,Antecipação Saque Aniversário,29.0,Alfa
10152,2025-03-01 09:12:00,200.0,10,0,2025-03-01 09:00:00,Antecipação Saque Aniversário,12.0,Alfa
10153,2025-01-18 09:00:00,250.0,11,0,2025-01-02 09:00:00,Antecipação Saque Aniversário,23040.0,Beta
10154,2025-10-31 14:34:00,200.0,2,0,2025-10-31 14:00:00,Antecipação Saque Aniversário,34.0,Alfa
10155,2025-05-20 13:53:00,200.0,7,0,2025-05-20 13:00:00,Crédito Pessoal,53.0,Alfa
10156,2025-03-03 16:00:00,150.0,10,0,2025-02-06 16:00:00,Antecipação Saque Aniversário,36000.0,Beta
10157,2025-01-09 09:29:00,200.0,11,0,2025-01-09 09:00:00,Consignado,29.0,Alfa
10158,2025-04-09 11:15:00,200.0,8,0,2025-04-09 11:00:00,Antecipação Saque Aniversário,15.0,Alfa
10159,2025-11-20 16:00:00,150.0,1,0,,,,Gama
10160,2025-05-11 12:32:00,200.0,7,0,2025-05-11 12:00:00,Antecipação Saque Aniversário,32.0,Alfa
10161,2025-06-01 14:27:00,200.0,7,0,2025-06-01 14:00:00,Consignado,27.0,Alfa
10162,2025-04-30 09:54:00,200.0,8,0,2025-04-30 09:00:00,Crédito Pessoal,54.0,Alfa
10163,2025-04-26 11:38:00,200.0,8,0,2025-04-26 11:00:00,Crédito Pessoal,38.0,Alfa
10164,2025-04-23 16:59:00,200.0,8,0,2025-04-23 16:00:00,Consignado,59.0,Alfa
10165,2025-04-14 12:02:00,200.0,8,0,2025-04-14 12:00:00,Consignado,2.0,Alfa
10166,2025-09-11 11:31:00,200.0,3,0,2025-09-11 11:00:00,Consignado,31.0,Alfa
10167,2025-04-22 14:48:00,200.0,8,0,2025-04-22 14:00:00,Consignado,48.0,Alfa
10168,2025-04-09 09:24:00,200.0,8,0,2025-04-09 09:00:00,Consignado,24.0,Alfa
10169,2025-12-15 10:57:00,200.0,1,0,2025-12-15 10:00:00,Crédito Pessoal,57.0,Alfa
10170,2025-12-08 10:00:00,250.0,1,0,2025-12-04 10:00:00,Crédito Pessoal,5760.0,Beta
10171,2025-11-06 11:36:00,200.0,1,0,2025-11-06 11:00:00,Antecipação Saque Aniversário,36.0,Alfa
10172,2025-07-27 13:50:00,200.0,5,0,2025-07-27 13:00:00,Antecipação Saque Aniversário,50.0,Alfa
10173,2025-06-18 12:49:00,200.0,6,0,2025-06-18 12:00:00,CDC,49.0,Alfa
10174,2025-06-10 12:04:00,200.0,6,0,2025-06-10 12:00:00,Antecipação Saque Aniversário,4.0,Alfa
10175,2025-10-16 14:23:00,200.0,2,0,2025-10-16 14:00:00,Antecipação Saque Aniversário,23.0,Alfa
10176,2025-10-04 16:23:00,200.0,2,0,2025-10-04 16:00:00,Consignado,23.0,Alfa
10177,2025-05-15 11:15:00,200.0,7,0,2025-05-15 11:00:00,Consignado,15.0,Alfa
10178,2025-05-27 09:00:00,250.0,7,0,2025-05-08 09:00:00,Antecipação Saque Aniversário,27360.0,Beta
10179,2025-06-25 12:36:00,200.0,6,0,2025-06-25 12:00:00,CDC,36.0,Alfa
10180,2025-01-22 14:45:00,200.0,11,0,2025-01-22 14:00:00,Consignado,45.0,Alfa
10181,2025-06-07 14:53:00,200.0,6,0,2025-06-07 14:00:00,Antecipação Saque Aniversário,53.0,Alfa
10182,2025-08-23 13:00:00,150.0,4,0,2025-08-18 13:00:00,Antecipação Saque Aniversário,7200.0,Beta
10183,2025-02-20 14:13:00,200.0,10,0,2025-02-20 14:00:00,Crédito Pessoal,13.0,Alfa
10184,2025-09-21 11:10:00,200.0,3,0,2025-09-21 11:00:00,CDC,10.0,Alfa
10185,2025-06-28 00:00:00,150.0,6,1,2025-01-27 10:00:00,Crédito Pessoal,218280.0,Beta
10186,2025-10-04 14:39:00,200.0,2,0,2025-10-04 14:00:00,CDC,39.0,Alfa
10187,2025-04-07 12:49:00,200.0,8,0,2025-04-07 12:00:00,Consignado,49.0,Alfa
10188,2025-11-13 16:57:00,200.0,1,0,2025-11-13 16:00:00,CDC,57.0,Alfa
10189,2025-05-27 12:40:00,200.0,7,0,2025-05-27 12:00:00,Antecipação Saque Aniversário,40.0,Alfa
10190,2025-02-04 16:36:00,200.0,11,0,2025-02-04 16:00:00,Antecipação Saque Aniversário,36.0,Alfa
10191,2025-02-18 16:56:00,200.0,10,0,2025-02-18 16:00:00,CDC,56.0,Alfa
10192,2025-01-17 12:49:00,200.0,11,0,2025-01-17 12:00:00,CDC,49.0,Alfa
10193,2025-08-08 14:31:00,200.0,4,0,2025-08-08 14:00:00,CDC,31.0,Alfa
10194,2025-03-13 13:00:00,150.0,9,0,2025-02-15 13:00:00,Crédito Pessoal,37440.0,Beta
10195,2025-01-30 11:00:00,250.0,11,0,2025-01-06 11:00:00,CDC,34560.0,Beta
10196,2025-08-21 13:54:00,200.0,4,0,2025-08-21 13:00:00,Consignado,54.0,Alfa
10197,2025-10-07 13:21:00,200.0,2,0,,,,Gama
